,scientific_name,common_name,genus,percentage,count
388,Abutilon hybridum,Flowering maple,Abutilon,0.0026941106740664906,1
389,Chiranthodendron pentadactylon,Monkey Hand Tree,Chiranthodendron,0.0026941106740664906,1
390,Cedrus libani,Lebanon cedar,Cedrus,0.0026941106740664906,1
391,Jubaea chilensis,Chilean Wine Palm,Jubaea,0.0026941106740664906,1
392,Caryota maxima 'Himalaya',Himalayan Fishtail Palm,Caryota,0.0026941106740664906,1
393,Cassia excelsa,Crown of Gold Tree,Cassia,0.0026941106740664906,1
394,Leptospermum scoparium 'Snow White',New Zealand White Tea Tree,Leptospermum,0.0026941106740664906,1
395,Cercocarpus betuloides,Mountain mahogany,Cercocarpus,0.0026941106740664906,1
396,Chamaecyparis species,,Chamaecyparis,0.0026941106740664906,1
397,Fraxinus velutina,Modesto Ash,Fraxinus,0.0026941106740664906,1
398,Dypsis decaryi,Triangle palm,Dypsis,0.0026941106740664906,1
399,Rhopalostylis sapida,Nikau palm,Rhopalostylis,0.0026941106740664906,1
400,Moringa oleifera,Drumstick tree,Moringa,0.0026941106740664906,1
401,Callistemon salignus,White flowering bottlebrush,Callistemon,0.0026941106740664906,1
402,Corylus colurna,Hazel: Turkish,Corylus,0.0026941106740664906,1
403,Taxodium mucronatum,Montezuma Cypress,Taxodium,0.0026941106740664906,1
404,Acer negundo,Box Elder,Acer,0.0026941106740664906,1
405,Eucalyptus saligna,Sidney Blue Gum,Eucalyptus,0.0026941106740664906,1
406,Acer rubrum 'Autumn Glory',Red Maple Tree 'Autumn Glory',Acer,0.0026941106740664906,1
407,Platanus x hispanica 'Bloodgood',Bloodgood London Plane,Platanus,0.0026941106740664906,1
408,Ligustrum ovalifolium,California privet,Ligustrum,0.0026941106740664906,1
409,Prunus subhirtella 'autumnalis',Higan Cherry,Prunus,0.0026941106740664906,1
410,Acer japonicum,Japanese Maple,Acer,0.0026941106740664906,1
411,Pinus torreyana,Torrey Pine,Pinus,0.0026941106740664906,1
412,Liquidambar styraciflua 'Festival',Festival Sweet Gum,Liquidambar,0.0026941106740664906,1
413,Lagerstroemia spp,Crape myrtle species,Lagerstroemia,0.0026941106740664906,1
414,Juglans hindsii,Walnut: Black (n.calif),Juglans,0.0026941106740664906,1
415,Metrosideros spp,,Metrosideros,0.0026941106740664906,1
416,Acacia dealbata,Silver Wattle,Acacia,0.0026941106740664906,1
417,Phoenix rupicola,Cliff date palm,Phoenix,0.0026941106740664906,1
418,Pyrus calleryana 'Cleveland',Ornamental Pear Tree 'Cleveland',Pyrus,0.0026941106740664906,1
